0.000000000000000000e+00,-2.040902900923658725e-01
2.083333333333333218e-02,-1.227208963043925349e-01
4.166666666666666435e-02,-6.969409313043907483e-02
6.250000000000000000e-02,-3.533647565075376251e-02
8.333333333333332871e-02,-1.326747476977366454e-02
1.041666666666666574e-01,7.227465173873288571e-04
1.250000000000000000e-01,9.411601713205562658e-03
1.458333333333333148e-01,1.463177821833771923e-02
1.666666666666666574e-01,1.759235913398731616e-02
1.875000000000000000e-01,1.908971207763437289e-02
2.083333333333333148e-01,1.964938895750001357e-02
2.291666666666666574e-01,1.961711857241119419e-02
2.500000000000000000e-01,1.921907423183423502e-02
2.708333333333333148e-01,1.860275952537965641e-02
2.916666666666666297e-01,1.786507707908525228e-02
3.125000000000000000e-01,1.707628095743852353e-02
3.333333333333333148e-01,1.626560030243637267e-02
3.541666666666666297e-01,1.544368255343646704e-02
3.750000000000000000e-01,1.469625369100917289e-02
3.958333333333333148e-01,1.402328090208389798e-02
4.166666666666666297e-01,1.323632151776651424e-02
4.375000000000000000e-01,1.265765019699193958e-02
4.583333333333333148e-01,1.208594254874080856e-02
4.791666666666666297e-01,1.149684307389470077e-02
5.000000000000000000e-01,1.087528302401125253e-02
5.208333333333332593e-01,1.024251395243990469e-02
5.416666666666666297e-01,9.688229985081987794e-03
5.625000000000000000e-01,9.140133893352435368e-03
5.833333333333332593e-01,8.490673958214555242e-03
6.041666666666666297e-01,7.797793713954465772e-03
6.250000000000000000e-01,7.232027522997932535e-03
6.458333333333332593e-01,6.545918232198522958e-03
6.666666666666666297e-01,6.046539683319130526e-03
6.875000000000000000e-01,5.450604574170896978e-03
7.083333333333332593e-01,5.234817784877073173e-03
7.291666666666666297e-01,4.792078262017925548e-03
7.500000000000000000e-01,4.528494969430955745e-03
7.708333333333332593e-01,4.262182961034092360e-03
7.916666666666666297e-01,3.954551404421289586e-03
8.125000000000000000e-01,3.702536045617074983e-03
8.333333333333332593e-01,3.457123574408944768e-03
