0.000000000000000000e+00,5.000000000000000000e-01
2.083333333333333218e-02,5.000000000000000000e-01
4.166666666666666435e-02,4.999999822501949853e-01
6.250000000000000000e-02,4.999996305884579773e-01
8.333333333333332871e-02,4.999980099509073184e-01
1.041666666666666574e-01,4.999935808091318656e-01
1.250000000000000000e-01,4.999838420477031309e-01
1.458333333333333148e-01,4.999651639723103891e-01
1.666666666666666574e-01,4.999331375671162148e-01
1.875000000000000000e-01,4.998818628018112387e-01
2.083333333333333148e-01,4.998042310936089416e-01
2.291666666666666574e-01,4.996926894969128119e-01
2.500000000000000000e-01,4.995374991191839364e-01
2.708333333333333148e-01,4.993284089171025619e-01
2.916666666666666297e-01,4.990554583962640844e-01
3.125000000000000000e-01,4.987049251582942322e-01
3.333333333333333148e-01,4.982650702649067398e-01
3.541666666666666297e-01,4.977247633507814739e-01
3.750000000000000000e-01,4.970655850677258569e-01
3.958333333333333148e-01,4.962781770687378358e-01
4.166666666666666297e-01,4.953505736361055733e-01
4.375000000000000000e-01,4.942575598847432916e-01
4.583333333333333148e-01,4.930026861475204636e-01
4.791666666666666297e-01,4.915949205150244583e-01
5.000000000000000000e-01,4.899946440720657770e-01
5.208333333333332593e-01,4.881544774185062607e-01
5.416666666666666297e-01,4.860756731093982541e-01
5.625000000000000000e-01,4.837673419988693380e-01
5.833333333333332593e-01,4.811900395431524258e-01
6.041666666666666297e-01,4.782965743362813105e-01
6.250000000000000000e-01,4.750884298159867569e-01
6.458333333333332593e-01,4.715770371139132444e-01
6.666666666666666297e-01,4.677446520372348093e-01
6.875000000000000000e-01,4.635881245485803381e-01
7.083333333333332593e-01,4.591358479379320512e-01
7.291666666666666297e-01,4.544012164187107850e-01
7.500000000000000000e-01,4.493708461266414100e-01
7.708333333333332593e-01,4.440519336497618097e-01
7.916666666666666297e-01,4.384618882892508673e-01
8.125000000000000000e-01,4.325858944933769212e-01
8.333333333333332593e-01,4.264154217999275853e-01
8.541666666666666297e-01,4.199913115561653143e-01
8.750000000000000000e-01,4.133611892385495312e-01
8.958333333333332593e-01,4.065238125179173601e-01
9.166666666666666297e-01,3.994692695180522279e-01
9.375000000000000000e-01,3.922210038147940780e-01
9.583333333333332593e-01,3.847916678960153769e-01
9.791666666666666297e-01,3.771492740891391193e-01
1.000000000000000000e+00,3.692617366314166483e-01
1.020833333333333259e+00,3.611465769321262065e-01
1.041666666666666519e+00,3.528291461555915776e-01
1.062500000000000000e+00,3.442860919762436578e-01
1.083333333333333259e+00,3.354862665583143722e-01
1.104166666666666519e+00,3.264472120669401067e-01
1.125000000000000000e+00,3.171943012775676474e-01
1.145833333333333259e+00,3.077042336624579710e-01
1.166666666666666519e+00,2.979459245743724671e-01
1.187500000000000000e+00,2.879369418336228947e-01
1.208333333333333259e+00,2.777033690018071432e-01
1.229166666666666519e+00,2.672328176593293803e-01
1.250000000000000000e+00,2.565180167252514853e-01
1.270833333333333259e+00,2.456018199999555618e-01
1.291666666666666519e+00,2.345348563130265351e-01
1.312500000000000000e+00,2.233189630431365036e-01
1.333333333333333259e+00,2.119480537975474421e-01
1.354166666666666519e+00,2.004638487087669618e-01
1.375000000000000000e+00,1.889147416003765789e-01
1.395833333333333259e+00,1.773001854590960380e-01
1.416666666666666519e+00,1.656108384365286568e-01
1.437500000000000000e+00,1.538695593424007357e-01
1.458333333333333259e+00,1.420870867082710542e-01
1.479166666666666519e+00,1.302344446880182305e-01
1.500000000000000000e+00,1.182889891694528378e-01
1.520833333333333259e+00,1.062783765900364441e-01
1.541666666666666519e+00,9.423803600792718393e-02
1.562500000000000000e+00,8.215462701233074150e-02
1.583333333333333259e+00,7.000699044638668267e-02
1.604166666666666519e+00,5.782268202925709005e-02
1.625000000000000000e+00,4.563702931552258285e-02
1.645833333333333259e+00,3.343660261244954524e-02
1.666666666666666519e+00,2.120009407425778314e-02
1.687500000000000000e+00,8.953798265717469521e-03
1.708333333333333259e+00,-3.269604914154513112e-03
1.729166666666666519e+00,-1.548633050051649758e-02
1.750000000000000000e+00,-2.772039931956794476e-02
1.770833333333333259e+00,-3.994710950403634886e-02
1.791666666666666519e+00,-5.213398050784888438e-02
1.812500000000000000e+00,-6.429727272656803050e-02
1.833333333333333259e+00,-7.646105219981946810e-02
1.854166666666666519e+00,-8.860066277847465643e-02
1.875000000000000000e+00,-1.006836694908240654e-01
1.895833333333333259e+00,-1.127263778448611836e-01
1.916666666666666519e+00,-1.247528998419981383e-01
1.937500000000000000e+00,-1.367386239580762886e-01
1.958333333333333259e+00,-1.486511586548917574e-01
1.979166666666666519e+00,-1.605068562378234309e-01
2.000000000000000000e+00,-1.723298775255803217e-01
2.020833333333333037e+00,-1.840956554852442029e-01
2.041666666666666519e+00,-1.957718405353794933e-01
2.062500000000000000e+00,-2.073748357655987584e-01
2.083333333333333037e+00,-2.189288562552151041e-01
2.104166666666666519e+00,-2.304093802332287944e-01
2.125000000000000000e+00,-2.417840992495142172e-01
2.145833333333333037e+00,-2.530694735583942645e-01
2.166666666666666519e+00,-2.642897805436747460e-01
2.187500000000000000e+00,-2.754205454843097201e-01
2.208333333333333037e+00,-2.864295002109940036e-01
2.229166666666666519e+00,-2.973331677978853782e-01
2.250000000000000000e+00,-3.081558980263069958e-01
2.270833333333333037e+00,-3.188732669390603736e-01
2.291666666666666519e+00,-3.294520963513055123e-01
2.312500000000000000e+00,-3.398911088136715719e-01
2.333333333333333037e+00,-3.501768521968259829e-01
2.354166666666666519e+00,-3.602598599823522152e-01
2.375000000000000000e+00,-3.701018734443090596e-01
2.395833333333333037e+00,-3.797128543005473533e-01
2.416666666666666519e+00,-3.891069366912603411e-01
2.437500000000000000e+00,-3.982490652514782403e-01
2.458333333333333037e+00,-4.070964381055076631e-01
2.479166666666666519e+00,-4.156552931618303082e-01
2.500000000000000000e+00,-4.239398714496739884e-01
2.520833333333333037e+00,-4.319157333978171365e-01
2.541666666666666519e+00,-4.395406931642837356e-01
2.562500000000000000e+00,-4.468215187373847930e-01
2.583333333333333037e+00,-4.537729688152431495e-01
2.604166666666666519e+00,-4.603609232878302926e-01
2.625000000000000000e+00,-4.665432088491516249e-01
2.645833333333333037e+00,-4.723262708595981629e-01
